Name,Edition,Release Date,Bought Date,Region,Digital,Has Game,Has Manual,Has Box,Is Duplicate,Product Condition,Monetary Value,Notes,Developer,Publisher
Circus Atari,,,,US,No,Yes,No,No,No,Fair,4.82,Wear To Front Label. Missing Top Label,,
River Raid,,,,US,No,Yes,No,No,No,Fair,10,Wear To Label,,
Star Wars: The Empire Strike Back,,,,US,No,Yes,No,No,No,Fair,8.94,Some Wear To Label. Someone Wrote Their Name On It,,
Frogger,,,,US,No,Yes,No,No,No,Good,6.52,,,
Reactor,,,,US,No,Yes,No,No,No,Okay,6.73,Lot of wear to label. Has to be taped on.,,
Dodge 'Em,,,,US,No,Yes,No,No,No,Okay,4.16,Lot of wear to label. Top label missing,,
Ms. Pac-Man,,,,US,No,Yes,No,No,No,Fair,6.55,Wear To Label. Top Label Missing.,,
Demon Attack,,,,US,No,Yes,No,No,No,Okay,3.76,Lot of wear to table.,,
Breakout,,,,US,No,Yes,No,No,No,Good,4.39,Some wear to label,,
Picnic,,,,US,No,Yes,No,No,No,Fair,10,"Some wear to label., Rattles",,
Room of Doom,,,,US,No,Yes,No,No,No,Fair,29.39,Wear to label.,,
Combat,,,,US,No,Yes,No,No,No,Fair,1.93,Wear to label,,
Battlezone,,,,US,No,Yes,No,No,No,Good,6.44,,,
Defender,,,,US,No,Yes,No,No,No,Fair,4,Wear to label,,
Dig Dug,,,,US,No,Yes,No,No,No,Fair,5.05,Some damage to top label,,
Yars' Revenge,,,,US,No,Yes,No,No,No,Okay,2.99,Part of top label torn. Wear to label.,,
Pac-Man,,,,US,No,Yes,No,No,No,Fair,4.88,Wear to label,,
Warlords,,,,US,No,Yes,No,No,No,Okay,3.55,Wear to front label. Top label missing,,
Centipede,,,,US,No,Yes,No,No,No,Fair,5,Wear to front label. Top label missing,,
Galaxian,,,,US,No,Yes,No,No,No,Good,8.95,,,
Video Pinball,,,,US,No,Yes,No,No,No,Okay,3.98,Front Label Taped Down. Misssing top  label,,
Crystal Castles,,,,US,No,Yes,No,No,No,Okay,6.99,Front Label Damage,,
Chopper Command,,,,US,No,Yes,No,No,No,Okay,4.99,Label Taped Down. Damage. Wear,,
Air-Sea Battle,,,,US,No,Yes,No,No,No,Fair,4.94,Wear. Labels Taped Down,,
Raiders of the Lost Ark,,,,US,No,Yes,No,No,No,Good,6.4,Wear To Labels,,
Pole Position,,,,US,No,Yes,No,No,No,Fair,4.7,Damage to front label. Top label little loose,,
Pitfall!,,,,US,No,Yes,No,No,No,Fair,12.98,Wear and damage to label,,
Asteroids,,,,US,No,Yes,No,No,No,Fair,3.43,Wear To Labels,,
Q*bert,,,,US,No,Yes,No,No,No,Okay,5.84,Label Taped Down. Damage. Wear,,
Super Breakout,,,,US,No,Yes,No,No,No,Fair,4.04,Wear To Labels,,
Missile Command,,,,US,No,Yes,No,No,No,Fair,3.83,Top Label Taped Down. Wear To Labels,,
Pitfall II: Lost Caverns,,,,US,No,Yes,No,No,No,Fair,29.79,Wear to label. Someone wrote their name on it,,
Donkey Kong,,,,US,No,Yes,No,No,No,Fair,5.73,Wear to label,,
Berzerk,,,,US,No,Yes,No,No,No,Fair,3,Front Label Taped Down. Misssing top  label,,
Armor Ambush,,,,US,No,Yes,No,No,No,Fair,3.8,Top Label Taped Down. Wear To Labels,,
Basketball,,,,US,No,Yes,No,No,No,Fair,4.49,Missing Top Label.,,
Indy 500,,,,US,No,Yes,No,No,No,Fair,7.09,Missing Top Label.,,
Vanguard,,,,US,No,Yes,No,No,No,Fair,4.97,Missing Top Label.,,
Fast Eddie,,,,US,No,Yes,No,No,No,Fair,14.2,Wear To Label.,,
